slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,6401,190,24.0789,2.0880,13.0019,28.0051,41.530,3553.9,0.6458,175.0,702.0,0.5000,,
1,0,6402,190,24.0789,2.0880,13.0019,28.0051,41.530,3699.6,0.6458,167.0,605.0,0.5000,,
2,0,6403,190,24.0789,2.0880,13.0019,28.0051,41.530,2775.8,0.6458,1717.0,573.0,0.5000,,
3,0,6404,190,24.0789,2.0880,13.0019,28.0051,41.530,2657.3,0.6458,1697.0,687.0,0.5000,,
4,0,6405,189,24.1378,1.9296,16.9962,28.0051,41.429,2662.1,0.6458,1636.0,925.0,0.5000,,
5,0,6406,189,24.0049,2.2382,13.0019,28.0051,41.658,3573.5,0.3486,206.0,927.0,0.5000,,
6,0,6407,188,24.0637,2.0933,13.0019,28.0051,41.556,3571.6,0.3486,303.0,509.0,0.5000,,
7,0,6408,186,24.1131,1.9344,16.9962,28.0051,41.471,3097.2,0.3543,1112.0,420.0,0.5000,,
8,0,6411,113,23.6870,1.8691,16.9962,27.9920,42.217,1574.2,0.4564,689.0,530.0,0.5000,,
9,0,6410,182,24.0271,2.1064,13.0019,28.0051,41.620,2755.2,0.3552,1532.0,383.0,0.5000,,
