bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,19347,0.022187944,8000.000
3,0.1500,0.2000,0.1750,16823,0.019293316,5714.286
4,0.2000,0.2500,0.2250,136161,0.156155099,4444.444
5,0.2500,0.3000,0.2750,461746,0.529549521,3636.364
6,0.3000,0.3500,0.3250,198915,0.228123997,3076.923
7,0.3500,0.4000,0.3750,18189,0.020859902,2666.667
8,0.4000,0.4500,0.4250,6112,0.007009496,2352.941
9,0.4500,0.5000,0.4750,8542,0.009796321,2105.263
10,0.5000,0.5500,0.5250,2836,0.003252443,1904.762
11,0.5500,0.6000,0.5750,485,0.000556218,1739.130
12,0.6000,0.6500,0.6250,780,0.000894536,1600.000
13,0.6500,0.7000,0.6750,792,0.000908299,1481.481
14,0.7000,0.7500,0.7250,277,0.000317675,1379.310
15,0.7500,0.8000,0.7750,139,0.000159411,1290.323
16,0.8000,0.8500,0.8250,113,0.000129593,1212.121
17,0.8500,0.9000,0.8750,90,0.000103216,1142.857
18,0.9000,0.9500,0.9250,77,0.000088307,1081.081
19,0.9500,1.0000,0.9750,44,0.000050461,1025.641
20,1.0000,1.0500,1.0250,18,0.000020643,975.610
21,1.0500,1.1000,1.0750,25,0.000028671,930.233
22,1.1000,1.1500,1.1250,15,0.000017203,888.889
23,1.1500,1.2000,1.1750,17,0.000019496,851.064
24,1.2000,1.2500,1.2250,5,0.000005734,816.327
25,1.2500,1.3000,1.2750,13,0.000014909,784.314
26,1.3000,1.3500,1.3250,12,0.000013762,754.717
27,1.3500,1.4000,1.3750,17,0.000019496,727.273
28,1.4000,1.4500,1.4250,2,0.000002294,701.754
29,1.4500,1.5000,1.4750,10,0.000011468,677.966
30,1.5000,1.5500,1.5250,7,0.000008028,655.738
31,1.5500,1.6000,1.5750,2,0.000002294,634.921
32,1.6000,1.6500,1.6250,1,0.000001147,615.385
33,1.6500,1.7000,1.6750,4,0.000004587,597.015
37,1.8500,1.9000,1.8750,2,0.000002294,533.333
38,1.9000,1.9500,1.9250,4,0.000004587,519.481
39,1.9500,2.0000,1.9750,2,0.000002294,506.329
40,2.0000,2.0500,2.0250,4,0.000004587,493.827
41,2.0500,2.1000,2.0750,1,0.000001147,481.928
42,2.1000,2.1500,2.1250,1,0.000001147,470.588
43,2.1500,2.2000,2.1750,3,0.000003441,459.770
44,2.2000,2.2500,2.2250,3,0.000003441,449.438
45,2.2500,2.3000,2.2750,2,0.000002294,439.560
46,2.3000,2.3500,2.3250,7,0.000008028,430.108
47,2.3500,2.4000,2.3750,12,0.000013762,421.053
48,2.4000,2.4500,2.4250,44,0.000050461,412.371
49,2.4500,2.5000,2.4750,46,0.000052755,404.040
50,2.5000,2.5500,2.5250,22,0.000025231,396.040
51,2.5500,2.6000,2.5750,8,0.000009175,388.350
52,2.6000,2.6500,2.6250,8,0.000009175,380.952
53,2.6500,2.7000,2.6750,6,0.000006881,373.832
54,2.7000,2.7500,2.7250,2,0.000002294,366.972
57,2.8500,2.9000,2.8750,1,0.000001147,347.826
58,2.9000,2.9500,2.9250,14,0.000016056,341.880
59,2.9500,3.0000,2.9750,14,0.000016056,336.134
60,3.0000,3.0500,3.0250,7,0.000008028,330.579
61,3.0500,3.1000,3.0750,7,0.000008028,325.203
62,3.1000,3.1500,3.1250,6,0.000006881,320.000
63,3.1500,3.2000,3.1750,15,0.000017203,314.961
64,3.2000,3.2500,3.2250,6,0.000006881,310.078
65,3.2500,3.3000,3.2750,2,0.000002294,305.344
66,3.3000,3.3500,3.3250,3,0.000003441,300.752
67,3.3500,3.4000,3.3750,2,0.000002294,296.296
68,3.4000,3.4500,3.4250,1,0.000001147,291.971
71,3.5500,3.6000,3.5750,1,0.000001147,279.720
72,3.6000,3.6500,3.6250,1,0.000001147,275.862
81,4.0500,4.1000,4.0750,6,0.000006881,245.399
82,4.1000,4.1500,4.1250,14,0.000016056,242.424
83,4.1500,4.2000,4.1750,21,0.000024084,239.521
84,4.2000,4.2500,4.2250,15,0.000017203,236.686
85,4.2500,4.3000,4.2750,9,0.000010322,233.918
86,4.3000,4.3500,4.3250,9,0.000010322,231.214
87,4.3500,4.4000,4.3750,2,0.000002294,228.571
88,4.4000,4.4500,4.4250,3,0.000003441,225.989
89,4.4500,4.5000,4.4750,1,0.000001147,223.464
91,4.5500,4.6000,4.5750,1,0.000001147,218.579
137,6.8500,6.9000,6.8750,1,0.000001147,145.455
154,7.7000,7.7500,7.7250,1,0.000001147,129.450
234,11.7000,11.7500,11.7250,2,0.000002294,85.288
317,15.8500,15.9000,15.8750,1,0.000001147,62.992
325,16.2500,16.3000,16.2750,1,0.000001147,61.444
overflow,,,,0,0.000000000,
