bin_index,interval_ms_low,interval_ms_high,interval_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
99,9.9000,10.0000,9.9500,68,0.006105774,100.503
100,10.0000,10.1000,10.0500,71,0.006375146,99.502
109,10.9000,11.0000,10.9500,341,0.030618659,91.324
110,11.0000,11.1000,11.0500,340,0.030528868,90.498
119,11.9000,12.0000,11.9500,375,0.033671545,83.682
120,12.0000,12.1000,12.0500,348,0.031247194,82.988
129,12.9000,13.0000,12.9500,186,0.016701086,77.220
130,13.0000,13.1000,13.0500,164,0.014725689,76.628
139,13.9000,14.0000,13.9500,350,0.031426776,71.685
140,14.0000,14.1000,14.0500,343,0.030798240,71.174
149,14.9000,15.0000,14.9500,467,0.041932298,66.890
150,15.0000,15.1000,15.0500,469,0.042111879,66.445
159,15.9000,16.0000,15.9500,272,0.024423094,62.696
160,16.0000,16.1000,16.0500,233,0.020921253,62.305
169,16.9000,17.0000,16.9500,286,0.025680165,58.997
170,17.0000,17.1000,17.0500,297,0.026667864,58.651
179,17.9000,18.0000,17.9500,255,0.022896651,55.710
180,18.0000,18.1000,18.0500,240,0.021549789,55.402
189,18.9000,19.0000,18.9500,310,0.027835144,52.770
190,19.0000,19.1000,19.0500,299,0.026847445,52.493
199,19.9000,20.0000,19.9500,477,0.042830206,50.125
200,20.0000,20.1000,20.0500,383,0.034389872,49.875
209,20.9000,21.0000,20.9500,448,0.040226273,47.733
210,21.0000,21.1000,21.0500,440,0.039507946,47.506
219,21.9000,22.0000,21.9500,414,0.037173386,45.558
220,22.0000,22.1000,22.0500,406,0.036455060,45.351
229,22.9000,23.0000,22.9500,340,0.030528868,43.573
230,23.0000,23.1000,23.0500,324,0.029092215,43.384
239,23.9000,24.0000,23.9500,335,0.030079914,41.754
240,24.0000,24.1000,24.0500,286,0.025680165,41.580
249,24.9000,25.0000,24.9500,320,0.028733052,40.080
250,25.0000,25.1000,25.0500,302,0.027116818,39.920
259,25.9000,26.0000,25.9500,313,0.028104516,38.536
260,26.0000,26.1000,26.0500,296,0.026578073,38.388
269,26.9000,27.0000,26.9500,125,0.011223848,37.106
270,27.0000,27.1000,27.0500,110,0.009876987,36.969
279,27.9000,28.0000,27.9500,42,0.003771213,35.778
280,28.0000,28.1000,28.0500,38,0.003412050,35.651
289,28.9000,29.0000,28.9500,11,0.000987699,34.542
290,29.0000,29.1000,29.0500,9,0.000808117,34.423
299,29.9000,30.0000,29.9500,4,0.000359163,33.389
overflow,,,,0,0.000000000,
