bin_index,latency_ms_low,latency_ms_high,latency_ms_center,count,fraction
underflow,,,,0,0.000000000
0,0.0000,0.2000,0.1000,10813,0.189187298
1,0.2000,0.4000,0.3000,33657,0.588872365
2,0.4000,0.6000,0.5000,12181,0.213122212
3,0.6000,0.8000,0.7000,278,0.004863966
4,0.8000,1.0000,0.9000,43,0.000752340
5,1.0000,1.2000,1.1000,20,0.000349926
6,1.2000,1.4000,1.3000,29,0.000507392
7,1.4000,1.6000,1.5000,11,0.000192459
8,1.6000,1.8000,1.7000,13,0.000227452
9,1.8000,2.0000,1.9000,11,0.000192459
10,2.0000,2.2000,2.1000,38,0.000664859
11,2.2000,2.4000,2.3000,3,0.000052489
12,2.4000,2.6000,2.5000,16,0.000279941
13,2.6000,2.8000,2.7000,15,0.000262444
14,2.8000,3.0000,2.9000,9,0.000157467
15,3.0000,3.2000,3.1000,1,0.000017496
19,3.8000,4.0000,3.9000,8,0.000139970
21,4.2000,4.4000,4.3000,9,0.000157467
overflow,,,,0,0.000000000
