contacts,rate_hz,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,86.4985,83.3742,86.4985,11.560891,0.884271,9.980100,18.007200,18.007200,1629,100.00
2,68.9903,66.6964,68.9903,14.494787,1.081201,9.991300,19.010400,19.010400,1921,79.76
3,59.2962,58.8501,59.2962,16.864474,1.487403,12.003100,23.001100,23.001100,1183,68.55
4,51.9847,50.0173,51.9847,19.236447,1.641805,14.990600,24.002200,24.002200,604,60.10
5,49.2967,50.0199,49.2967,20.285346,1.917798,10.999400,29.995200,29.995200,539,56.99
6,46.9029,50.0141,46.9029,21.320629,2.021014,14.003100,28.007300,28.007300,567,54.22
7,46.3432,45.4404,46.3432,21.578151,2.455058,13.002300,28.997700,28.997700,807,53.58
8,44.9969,47.6342,44.9969,22.223773,2.326710,14.019300,29.001900,29.001900,1750,52.02
9,42.1193,40.0093,42.1193,23.742098,2.647818,14.996900,29.999900,29.999900,1402,48.69
10,40.4078,38.4716,40.4078,24.747700,1.899345,13.001900,28.999100,28.999100,735,46.72
