slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,856,7,10.1650,0.7566,8.9925,11.0030,98.377,12.2,1.4856,593.0,900.0,0.5000,,
1,0,838,1624,10.4711,0.5155,7.9660,12.1084,95.501,12805.9,1.6693,357.0,935.0,0.5000,,
2,0,839,1623,10.4727,0.5118,8.9833,12.1084,95.486,14208.0,1.6693,554.0,787.0,0.5000,,
3,0,848,1529,10.4749,0.5065,8.9988,12.1084,95.466,14936.1,1.2186,374.0,776.0,0.5000,,
4,0,841,1623,10.4727,0.5118,8.9833,12.1084,95.486,15210.8,1.6693,573.0,702.0,0.5000,,
5,0,855,421,10.4593,0.5241,7.9660,11.0862,95.609,6424.2,1.4565,347.0,730.0,0.5000,,
6,0,854,881,10.4702,0.5064,8.9925,11.9882,95.510,11862.8,1.3462,653.0,674.0,0.5000,,
7,0,844,1623,10.4727,0.5118,8.9833,12.1084,95.486,14363.2,1.6693,764.0,704.0,0.5000,,
8,0,845,1625,10.4696,0.5189,7.9660,12.1084,95.514,15612.3,1.6693,163.0,774.0,0.5000,,
9,0,852,1197,10.4680,0.5175,7.9660,12.1084,95.529,13462.5,1.3169,267.0,731.0,0.5000,,
