bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,381,0.000473265,8000.000
3,0.1500,0.2000,0.1750,7812,0.009703793,5714.286
4,0.2000,0.2500,0.2250,131598,0.163466435,4444.444
5,0.2500,0.3000,0.2750,361317,0.448815347,3636.364
6,0.3000,0.3500,0.3250,249017,0.309320213,3076.923
7,0.3500,0.4000,0.3750,28648,0.035585544,2666.667
8,0.4000,0.4500,0.4250,5415,0.006726324,2352.941
9,0.4500,0.5000,0.4750,11051,0.013727166,2105.263
10,0.5000,0.5500,0.5250,6347,0.007884022,1904.762
11,0.5500,0.6000,0.5750,726,0.000901812,1739.130
12,0.6000,0.6500,0.6250,721,0.000895601,1600.000
13,0.6500,0.7000,0.6750,796,0.000988763,1481.481
14,0.7000,0.7500,0.7250,245,0.000304330,1379.310
15,0.7500,0.8000,0.7750,178,0.000221105,1290.323
16,0.8000,0.8500,0.8250,126,0.000156513,1212.121
17,0.8500,0.9000,0.8750,86,0.000106826,1142.857
18,0.9000,0.9500,0.9250,62,0.000077014,1081.081
19,0.9500,1.0000,0.9750,33,0.000040991,1025.641
20,1.0000,1.0500,1.0250,28,0.000034781,975.610
21,1.0500,1.1000,1.0750,17,0.000021117,930.233
22,1.1000,1.1500,1.1250,9,0.000011179,888.889
23,1.1500,1.2000,1.1750,11,0.000013664,851.064
24,1.2000,1.2500,1.2250,4,0.000004969,816.327
25,1.2500,1.3000,1.2750,11,0.000013664,784.314
26,1.3000,1.3500,1.3250,19,0.000023601,754.717
27,1.3500,1.4000,1.3750,13,0.000016148,727.273
28,1.4000,1.4500,1.4250,5,0.000006211,701.754
29,1.4500,1.5000,1.4750,6,0.000007453,677.966
30,1.5000,1.5500,1.5250,9,0.000011179,655.738
31,1.5500,1.6000,1.5750,8,0.000009937,634.921
33,1.6500,1.7000,1.6750,1,0.000001242,597.015
34,1.7000,1.7500,1.7250,2,0.000002484,579.710
35,1.7500,1.8000,1.7750,2,0.000002484,563.380
36,1.8000,1.8500,1.8250,1,0.000001242,547.945
37,1.8500,1.9000,1.8750,5,0.000006211,533.333
38,1.9000,1.9500,1.9250,3,0.000003726,519.481
39,1.9500,2.0000,1.9750,2,0.000002484,506.329
40,2.0000,2.0500,2.0250,1,0.000001242,493.827
41,2.0500,2.1000,2.0750,2,0.000002484,481.928
42,2.1000,2.1500,2.1250,1,0.000001242,470.588
45,2.2500,2.3000,2.2750,5,0.000006211,439.560
46,2.3000,2.3500,2.3250,2,0.000002484,430.108
47,2.3500,2.4000,2.3750,17,0.000021117,421.053
48,2.4000,2.4500,2.4250,44,0.000054655,412.371
49,2.4500,2.5000,2.4750,39,0.000048444,404.040
50,2.5000,2.5500,2.5250,20,0.000024843,396.040
51,2.5500,2.6000,2.5750,13,0.000016148,388.350
52,2.6000,2.6500,2.6250,9,0.000011179,380.952
53,2.6500,2.7000,2.6750,9,0.000011179,373.832
54,2.7000,2.7500,2.7250,2,0.000002484,366.972
55,2.7500,2.8000,2.7750,1,0.000001242,360.360
57,2.8500,2.9000,2.8750,2,0.000002484,347.826
58,2.9000,2.9500,2.9250,5,0.000006211,341.880
59,2.9500,3.0000,2.9750,6,0.000007453,336.134
60,3.0000,3.0500,3.0250,14,0.000017390,330.579
61,3.0500,3.1000,3.0750,11,0.000013664,325.203
62,3.1000,3.1500,3.1250,10,0.000012422,320.000
63,3.1500,3.2000,3.1750,14,0.000017390,314.961
64,3.2000,3.2500,3.2250,9,0.000011179,310.078
65,3.2500,3.3000,3.2750,8,0.000009937,305.344
67,3.3500,3.4000,3.3750,1,0.000001242,296.296
70,3.5000,3.5500,3.5250,1,0.000001242,283.688
80,4.0000,4.0500,4.0250,1,0.000001242,248.447
81,4.0500,4.1000,4.0750,4,0.000004969,245.399
82,4.1000,4.1500,4.1250,13,0.000016148,242.424
83,4.1500,4.2000,4.1750,14,0.000017390,239.521
84,4.2000,4.2500,4.2250,11,0.000013664,236.686
85,4.2500,4.3000,4.2750,8,0.000009937,233.918
86,4.3000,4.3500,4.3250,17,0.000021117,231.214
87,4.3500,4.4000,4.3750,4,0.000004969,228.571
88,4.4000,4.4500,4.4250,5,0.000006211,225.989
89,4.4500,4.5000,4.4750,2,0.000002484,223.464
156,7.8000,7.8500,7.8250,1,0.000001242,127.796
158,7.9000,7.9500,7.9250,1,0.000001242,126.183
164,8.2000,8.2500,8.2250,1,0.000001242,121.581
240,12.0000,12.0500,12.0250,1,0.000001242,83.160
243,12.1500,12.2000,12.1750,1,0.000001242,82.136
overflow,,,,1,0.000001242,
