bin_index,interval_ms_low,interval_ms_high,interval_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
29,2.9000,3.0000,2.9500,1,0.000053662,338.983
79,7.9000,8.0000,7.9500,2,0.000107325,125.786
80,8.0000,8.1000,8.0500,1,0.000053662,124.224
89,8.9000,9.0000,8.9500,7,0.000375637,111.732
90,9.0000,9.1000,9.0500,6,0.000321975,110.497
98,9.8000,9.9000,9.8500,37,0.001985511,101.523
99,9.9000,10.0000,9.9500,4909,0.263429031,100.503
100,10.0000,10.1000,10.0500,4763,0.255594312,99.502
101,10.1000,10.2000,10.1500,42,0.002253823,98.522
108,10.8000,10.9000,10.8500,35,0.001878186,92.166
109,10.9000,11.0000,10.9500,4436,0.238046686,91.324
110,11.0000,11.1000,11.0500,4351,0.233485377,90.498
111,11.1000,11.2000,11.1500,29,0.001556211,89.686
119,11.9000,12.0000,11.9500,9,0.000482962,83.682
120,12.0000,12.1000,12.0500,3,0.000160987,82.988
121,12.1000,12.2000,12.1500,1,0.000053662,82.305
129,12.9000,13.0000,12.9500,1,0.000053662,77.220
139,13.9000,14.0000,13.9500,1,0.000053662,71.685
210,21.0000,21.1000,21.0500,1,0.000053662,47.506
overflow,,,,0,0.000000000,
