bin_index,latency_ms_low,latency_ms_high,latency_ms_center,count,fraction
underflow,,,,0,0.000000000
0,0.0000,0.2000,0.1000,7736,0.067740806
1,0.2000,0.4000,0.3000,7477,0.065472855
2,0.4000,0.6000,0.5000,426,0.003730298
3,0.6000,0.8000,0.7000,12,0.000105079
4,0.8000,1.0000,0.9000,36,0.000315236
5,1.0000,1.2000,1.1000,39531,0.346155867
6,1.2000,1.4000,1.3000,53879,0.471795096
7,1.4000,1.6000,1.5000,4487,0.039290718
8,1.6000,1.8000,1.7000,248,0.002171629
9,1.8000,2.0000,1.9000,77,0.000674256
10,2.0000,2.2000,2.1000,24,0.000210158
11,2.2000,2.4000,2.3000,20,0.000175131
12,2.4000,2.6000,2.5000,12,0.000105079
13,2.6000,2.8000,2.7000,69,0.000604203
14,2.8000,3.0000,2.9000,29,0.000253940
15,3.0000,3.2000,3.1000,47,0.000411559
16,3.2000,3.4000,3.3000,14,0.000122592
17,3.4000,3.6000,3.5000,15,0.000131349
18,3.6000,3.8000,3.7000,20,0.000175131
20,4.0000,4.2000,4.1000,14,0.000122592
22,4.4000,4.6000,4.5000,9,0.000078809
24,4.8000,5.0000,4.9000,10,0.000087566
27,5.4000,5.6000,5.5000,8,0.000070053
overflow,,,,0,0.000000000
