contacts,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,99.5025,95.3327,10.489578,0.586072,9.885600,21.018800,21.018800,1364,100.00
2,100.5025,95.4753,10.473914,0.502188,8.956100,12.002400,12.002400,2147,101.01
3,100.5025,95.4617,10.475400,0.501712,9.881900,11.109400,11.109400,1598,101.01
4,100.5025,95.4578,10.475835,0.503806,8.019000,11.116000,11.116000,1668,101.01
5,100.5025,95.4612,10.475461,0.501737,9.000700,11.992300,11.992300,2302,101.01
6,99.5025,95.4511,10.476564,0.504036,8.986300,11.995800,11.995800,1225,100.00
7,100.5025,95.4504,10.476650,0.501485,9.876000,11.116100,11.116100,1235,101.01
8,99.5025,95.4753,10.473916,0.512599,7.966000,11.977600,11.977600,1101,100.00
9,100.5025,95.3939,10.482847,0.508890,9.012100,12.108400,12.108400,1975,101.01
10,100.5025,95.5229,10.468694,0.518565,2.999600,12.995400,12.995400,4020,101.01
