slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,41122,246,8.0000,0.0000,8.0000,8.0000,125.000,2056.7,-7791.4828,1761.0,582.0,0.5000,,
1,0,41106,449,8.0000,0.0000,8.0000,8.0000,125.000,3307.7,-7736.6173,487.0,974.0,0.5000,,
2,0,41130,125,8.0000,0.0000,8.0000,8.0000,125.000,739.9,-7847.6367,1845.0,649.0,0.5000,,
3,0,41124,242,8.0000,0.0000,8.0000,8.0000,125.000,2434.9,-7788.5222,349.0,752.0,0.5000,,
4,0,41113,360,8.0000,0.0000,8.0000,8.0000,125.000,2794.4,-7765.6076,1542.0,648.0,0.5000,,
5,0,41131,89,8.0000,0.0000,8.0000,8.0000,125.000,378.8,-7866.6263,1389.0,943.0,0.5000,,
6,0,41125,242,8.0000,0.0000,8.0000,8.0000,125.000,2446.9,-7786.6986,212.0,699.0,0.5000,,
7,0,41100,602,8.0000,0.0000,8.0000,8.0000,125.000,4444.5,-7667.3361,1919.0,767.0,0.5000,,
8,0,41126,243,8.0000,0.0000,8.0000,8.0000,125.000,2189.7,-7784.7640,16.0,903.0,0.5000,,
9,0,41127,240,8.0000,0.0000,8.0000,8.0000,125.000,2319.6,-7785.7320,116.0,767.0,0.5000,,
