bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,663,0.001549138,8000.000
3,0.1500,0.2000,0.1750,28575,0.066767139,5714.286
4,0.2000,0.2500,0.2250,68027,0.158949016,4444.444
5,0.2500,0.3000,0.2750,66608,0.155633441,3636.364
6,0.3000,0.3500,0.3250,80705,0.188571896,3076.923
7,0.3500,0.4000,0.3750,87353,0.204105332,2666.667
8,0.4000,0.4500,0.4250,52341,0.122297771,2352.941
9,0.4500,0.5000,0.4750,22269,0.052032805,2105.263
10,0.5000,0.5500,0.5250,9901,0.023134259,1904.762
11,0.5500,0.6000,0.5750,4939,0.011540259,1739.130
12,0.6000,0.6500,0.6250,2540,0.005934857,1600.000
13,0.6500,0.7000,0.6750,1378,0.003219777,1481.481
14,0.7000,0.7500,0.7250,507,0.001184635,1379.310
15,0.7500,0.8000,0.7750,214,0.000500023,1290.323
16,0.8000,0.8500,0.8250,128,0.000299079,1212.121
17,0.8500,0.9000,0.8750,203,0.000474321,1142.857
18,0.9000,0.9500,0.9250,284,0.000663582,1081.081
19,0.9500,1.0000,0.9750,266,0.000621524,1025.641
20,1.0000,1.0500,1.0250,296,0.000691621,975.610
21,1.0500,1.1000,1.0750,278,0.000649563,930.233
22,1.1000,1.1500,1.1250,170,0.000397215,888.889
23,1.1500,1.2000,1.1750,52,0.000121501,851.064
24,1.2000,1.2500,1.2250,5,0.000011683,816.327
25,1.2500,1.3000,1.2750,5,0.000011683,784.314
26,1.3000,1.3500,1.3250,17,0.000039721,754.717
27,1.3500,1.4000,1.3750,16,0.000037385,727.273
28,1.4000,1.4500,1.4250,10,0.000023366,701.754
29,1.4500,1.5000,1.4750,5,0.000011683,677.966
30,1.5000,1.5500,1.5250,3,0.000007010,655.738
31,1.5500,1.6000,1.5750,6,0.000014019,634.921
32,1.6000,1.6500,1.6250,2,0.000004673,615.385
34,1.7000,1.7500,1.7250,2,0.000004673,579.710
37,1.8500,1.9000,1.8750,2,0.000004673,533.333
38,1.9000,1.9500,1.9250,3,0.000007010,519.481
39,1.9500,2.0000,1.9750,2,0.000004673,506.329
40,2.0000,2.0500,2.0250,1,0.000002337,493.827
41,2.0500,2.1000,2.0750,1,0.000002337,481.928
43,2.1500,2.2000,2.1750,1,0.000002337,459.770
44,2.2000,2.2500,2.2250,1,0.000002337,449.438
45,2.2500,2.3000,2.2750,2,0.000004673,439.560
46,2.3000,2.3500,2.3250,5,0.000011683,430.108
47,2.3500,2.4000,2.3750,12,0.000028039,421.053
48,2.4000,2.4500,2.4250,20,0.000046731,412.371
49,2.4500,2.5000,2.4750,23,0.000053741,404.040
50,2.5000,2.5500,2.5250,12,0.000028039,396.040
51,2.5500,2.6000,2.5750,9,0.000021029,388.350
52,2.6000,2.6500,2.6250,6,0.000014019,380.952
53,2.6500,2.7000,2.6750,5,0.000011683,373.832
54,2.7000,2.7500,2.7250,4,0.000009346,366.972
58,2.9000,2.9500,2.9250,5,0.000011683,341.880
59,2.9500,3.0000,2.9750,10,0.000023366,336.134
60,3.0000,3.0500,3.0250,5,0.000011683,330.579
61,3.0500,3.1000,3.0750,7,0.000016356,325.203
62,3.1000,3.1500,3.1250,8,0.000018692,320.000
63,3.1500,3.2000,3.1750,6,0.000014019,314.961
64,3.2000,3.2500,3.2250,4,0.000009346,310.078
65,3.2500,3.3000,3.2750,3,0.000007010,305.344
67,3.3500,3.4000,3.3750,1,0.000002337,296.296
70,3.5000,3.5500,3.5250,1,0.000002337,283.688
80,4.0000,4.0500,4.0250,1,0.000002337,248.447
81,4.0500,4.1000,4.0750,4,0.000009346,245.399
82,4.1000,4.1500,4.1250,5,0.000011683,242.424
83,4.1500,4.2000,4.1750,7,0.000016356,239.521
84,4.2000,4.2500,4.2250,10,0.000023366,236.686
85,4.2500,4.3000,4.2750,4,0.000009346,233.918
86,4.3000,4.3500,4.3250,12,0.000028039,231.214
87,4.3500,4.4000,4.3750,1,0.000002337,228.571
88,4.4000,4.4500,4.4250,2,0.000004673,225.989
89,4.4500,4.5000,4.4750,1,0.000002337,223.464
91,4.5500,4.6000,4.5750,1,0.000002337,218.579
144,7.2000,7.2500,7.2250,1,0.000002337,138.408
overflow,,,,4,0.000009346,
