contacts,rate_hz,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1693,100.00
2,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,545,100.00
3,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,398,100.00
4,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,807,100.00
5,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1624,100.00
6,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1105,100.00
7,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1873,100.00
8,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,1137,100.00
9,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,2137,100.00
10,125.0000,125.0000,125.0000,8.000000,0.000000,8.000000,8.000000,8.000000,4286,100.00
