slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,38456,2035,17.2273,0.4221,15.9992,18.0546,58.047,31414.5,0.3686,780.0,900.0,0.5000,,
1,0,38461,647,17.2226,0.4240,15.9992,18.0546,58.063,15845.6,0.3612,278.0,462.0,0.5000,,
2,0,38460,819,17.2246,0.4237,15.9992,18.0546,58.056,19190.4,0.4535,397.0,437.0,0.5000,,
3,0,38451,3362,17.2261,0.4202,15.9992,18.0680,58.051,62917.6,0.4346,488.0,442.0,0.5000,,
4,0,38452,3031,17.2264,0.4205,15.9992,18.0680,58.050,44368.6,0.2835,496.0,817.0,0.5000,,
5,0,38453,2633,17.2273,0.4213,15.9992,18.0546,58.047,43924.4,0.2714,553.0,575.0,0.5000,,
6,0,38454,2401,17.2276,0.4217,15.9992,18.0546,58.046,46263.9,0.3638,913.0,667.0,0.5000,,
7,0,38455,2175,17.2279,0.4222,15.9992,18.0546,58.046,42833.1,0.3264,1064.0,651.0,0.5000,,
8,0,38458,1444,17.2270,0.4230,15.9992,18.0546,58.048,26979.1,0.3436,1137.0,716.0,0.5000,,
9,0,38459,1188,17.2263,0.4232,15.9992,18.0546,58.051,21409.7,0.3552,1246.0,783.0,0.5000,,
