bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,14508,0.040920052,8000.000
3,0.1500,0.2000,0.1750,8377,0.023627466,5714.286
4,0.2000,0.2500,0.2250,50390,0.142125823,4444.444
5,0.2500,0.3000,0.2750,162922,0.459524179,3636.364
6,0.3000,0.3500,0.3250,99911,0.281800618,3076.923
7,0.3500,0.4000,0.3750,8883,0.025054648,2666.667
8,0.4000,0.4500,0.4250,2575,0.007262830,2352.941
9,0.4500,0.5000,0.4750,3939,0.011110014,2105.263
10,0.5000,0.5500,0.5250,1509,0.004256159,1904.762
11,0.5500,0.6000,0.5750,261,0.000736155,1739.130
12,0.6000,0.6500,0.6250,272,0.000767180,1600.000
13,0.6500,0.7000,0.6750,369,0.001040771,1481.481
14,0.7000,0.7500,0.7250,130,0.000366667,1379.310
15,0.7500,0.8000,0.7750,55,0.000155128,1290.323
16,0.8000,0.8500,0.8250,49,0.000138205,1212.121
17,0.8500,0.9000,0.8750,49,0.000138205,1142.857
18,0.9000,0.9500,0.9250,52,0.000146667,1081.081
19,0.9500,1.0000,0.9750,27,0.000076154,1025.641
20,1.0000,1.0500,1.0250,21,0.000059231,975.610
21,1.0500,1.1000,1.0750,12,0.000033846,930.233
22,1.1000,1.1500,1.1250,11,0.000031026,888.889
23,1.1500,1.2000,1.1750,7,0.000019744,851.064
24,1.2000,1.2500,1.2250,7,0.000019744,816.327
25,1.2500,1.3000,1.2750,11,0.000031026,784.314
26,1.3000,1.3500,1.3250,12,0.000033846,754.717
27,1.3500,1.4000,1.3750,6,0.000016923,727.273
28,1.4000,1.4500,1.4250,8,0.000022564,701.754
29,1.4500,1.5000,1.4750,8,0.000022564,677.966
30,1.5000,1.5500,1.5250,6,0.000016923,655.738
31,1.5500,1.6000,1.5750,4,0.000011282,634.921
32,1.6000,1.6500,1.6250,8,0.000022564,615.385
33,1.6500,1.7000,1.6750,3,0.000008462,597.015
35,1.7500,1.8000,1.7750,2,0.000005641,563.380
37,1.8500,1.9000,1.8750,3,0.000008462,533.333
38,1.9000,1.9500,1.9250,2,0.000005641,519.481
39,1.9500,2.0000,1.9750,1,0.000002821,506.329
40,2.0000,2.0500,2.0250,1,0.000002821,493.827
41,2.0500,2.1000,2.0750,1,0.000002821,481.928
43,2.1500,2.2000,2.1750,1,0.000002821,459.770
45,2.2500,2.3000,2.2750,1,0.000002821,439.560
46,2.3000,2.3500,2.3250,1,0.000002821,430.108
47,2.3500,2.4000,2.3750,4,0.000011282,421.053
48,2.4000,2.4500,2.4250,13,0.000036667,412.371
49,2.4500,2.5000,2.4750,16,0.000045128,404.040
50,2.5000,2.5500,2.5250,17,0.000047949,396.040
51,2.5500,2.6000,2.5750,5,0.000014103,388.350
52,2.6000,2.6500,2.6250,3,0.000008462,380.952
53,2.6500,2.7000,2.6750,3,0.000008462,373.832
54,2.7000,2.7500,2.7250,1,0.000002821,366.972
58,2.9000,2.9500,2.9250,4,0.000011282,341.880
59,2.9500,3.0000,2.9750,3,0.000008462,336.134
60,3.0000,3.0500,3.0250,4,0.000011282,330.579
61,3.0500,3.1000,3.0750,2,0.000005641,325.203
62,3.1000,3.1500,3.1250,5,0.000014103,320.000
63,3.1500,3.2000,3.1750,7,0.000019744,314.961
64,3.2000,3.2500,3.2250,5,0.000014103,310.078
65,3.2500,3.3000,3.2750,2,0.000005641,305.344
75,3.7500,3.8000,3.7750,1,0.000002821,264.901
80,4.0000,4.0500,4.0250,1,0.000002821,248.447
81,4.0500,4.1000,4.0750,3,0.000008462,245.399
82,4.1000,4.1500,4.1250,4,0.000011282,242.424
83,4.1500,4.2000,4.1750,5,0.000014103,239.521
84,4.2000,4.2500,4.2250,9,0.000025385,236.686
85,4.2500,4.3000,4.2750,4,0.000011282,233.918
86,4.3000,4.3500,4.3250,1,0.000002821,231.214
87,4.3500,4.4000,4.3750,4,0.000011282,228.571
88,4.4000,4.4500,4.4250,1,0.000002821,225.989
116,5.8000,5.8500,5.8250,1,0.000002821,171.674
226,11.3000,11.3500,11.3250,1,0.000002821,88.300
323,16.1500,16.2000,16.1750,1,0.000002821,61.824
overflow,,,,0,0.000000000,
