bin_index,latency_ms_low,latency_ms_high,latency_ms_center,count,fraction
underflow,,,,0,0.000000000
0,0.0000,0.2000,0.1000,6049,0.203992851
1,0.2000,0.4000,0.3000,18086,0.609921424
2,0.4000,0.6000,0.5000,5252,0.177115300
3,0.6000,0.8000,0.7000,180,0.006070212
4,0.8000,1.0000,0.9000,20,0.000674468
5,1.0000,1.2000,1.1000,1,0.000033723
6,1.2000,1.4000,1.3000,12,0.000404681
7,1.4000,1.6000,1.5000,2,0.000067447
8,1.6000,1.8000,1.7000,5,0.000168617
9,1.8000,2.0000,1.9000,10,0.000337234
10,2.0000,2.2000,2.1000,1,0.000033723
11,2.2000,2.4000,2.3000,12,0.000404681
15,3.0000,3.2000,3.1000,15,0.000505851
18,3.6000,3.8000,3.7000,8,0.000269787
overflow,,,,0,0.000000000
