slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,681,320,12.9058,0.6374,9.9983,14.0111,77.485,736.7,0.3893,1461.0,679.0,0.5000,,
1,0,682,320,12.9026,0.6443,9.9983,14.0111,77.503,754.3,0.3128,530.0,626.0,0.5000,,
2,0,694,163,13.1788,0.4578,10.9999,14.0111,75.879,555.9,0.3145,967.0,1074.0,0.5000,,
3,0,686,288,13.0417,0.4858,10.9999,14.0111,76.677,721.9,0.3181,1068.0,756.0,0.5000,,
4,0,687,286,13.0455,0.4836,10.9999,14.0111,76.655,552.7,0.3517,1059.0,353.0,0.5000,,
5,0,691,215,13.1353,0.4989,9.9983,14.0111,76.131,116.7,0.2037,1334.0,368.0,0.5000,,
6,0,689,287,13.0278,0.5291,9.9983,14.0111,76.759,422.7,0.3357,1409.0,468.0,0.5000,,
7,0,690,227,13.1282,0.4485,10.9999,14.0111,76.172,298.9,0.3480,722.0,515.0,0.5000,,
8,0,695,44,13.1627,0.4835,11.9988,14.0026,75.972,101.1,0.3151,827.0,702.0,0.5000,,
9,0,693,195,13.1854,0.4026,11.9988,14.0111,75.842,331.3,0.2543,877.0,512.0,0.5000,,
