bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,7886,0.008585953,8000.000
3,0.1500,0.2000,0.1750,9056,0.009859801,5714.286
4,0.2000,0.2500,0.2250,85896,0.093520034,4444.444
5,0.2500,0.3000,0.2750,434297,0.472844720,3636.364
6,0.3000,0.3500,0.3250,304927,0.331991982,3076.923
7,0.3500,0.4000,0.3750,43782,0.047668042,2666.667
8,0.4000,0.4500,0.4250,7466,0.008128674,2352.941
9,0.4500,0.5000,0.4750,13958,0.015196897,2105.263
10,0.5000,0.5500,0.5250,7153,0.007787892,1904.762
11,0.5500,0.6000,0.5750,874,0.000951575,1739.130
12,0.6000,0.6500,0.6250,1039,0.001131220,1600.000
13,0.6500,0.7000,0.6750,804,0.000875362,1481.481
14,0.7000,0.7500,0.7250,237,0.000258036,1379.310
15,0.7500,0.8000,0.7750,163,0.000177468,1290.323
16,0.8000,0.8500,0.8250,90,0.000097988,1212.121
17,0.8500,0.9000,0.8750,91,0.000099077,1142.857
18,0.9000,0.9500,0.9250,89,0.000096900,1081.081
19,0.9500,1.0000,0.9750,64,0.000069681,1025.641
20,1.0000,1.0500,1.0250,49,0.000053349,975.610
21,1.0500,1.1000,1.0750,18,0.000019598,930.233
22,1.1000,1.1500,1.1250,25,0.000027219,888.889
23,1.1500,1.2000,1.1750,14,0.000015243,851.064
24,1.2000,1.2500,1.2250,12,0.000013065,816.327
25,1.2500,1.3000,1.2750,13,0.000014154,784.314
26,1.3000,1.3500,1.3250,31,0.000033752,754.717
27,1.3500,1.4000,1.3750,11,0.000011976,727.273
28,1.4000,1.4500,1.4250,15,0.000016331,701.754
29,1.4500,1.5000,1.4750,9,0.000009799,677.966
30,1.5000,1.5500,1.5250,8,0.000008710,655.738
31,1.5500,1.6000,1.5750,4,0.000004355,634.921
32,1.6000,1.6500,1.6250,2,0.000002178,615.385
33,1.6500,1.7000,1.6750,1,0.000001089,597.015
34,1.7000,1.7500,1.7250,5,0.000005444,579.710
36,1.8000,1.8500,1.8250,2,0.000002178,547.945
37,1.8500,1.9000,1.8750,1,0.000001089,533.333
38,1.9000,1.9500,1.9250,6,0.000006533,519.481
39,1.9500,2.0000,1.9750,6,0.000006533,506.329
40,2.0000,2.0500,2.0250,3,0.000003266,493.827
41,2.0500,2.1000,2.0750,2,0.000002178,481.928
44,2.2000,2.2500,2.2250,2,0.000002178,449.438
45,2.2500,2.3000,2.2750,2,0.000002178,439.560
46,2.3000,2.3500,2.3250,10,0.000010888,430.108
47,2.3500,2.4000,2.3750,19,0.000020686,421.053
48,2.4000,2.4500,2.4250,53,0.000057704,412.371
49,2.4500,2.5000,2.4750,43,0.000046817,404.040
50,2.5000,2.5500,2.5250,24,0.000026130,396.040
51,2.5500,2.6000,2.5750,10,0.000010888,388.350
52,2.6000,2.6500,2.6250,10,0.000010888,380.952
53,2.6500,2.7000,2.6750,2,0.000002178,373.832
54,2.7000,2.7500,2.7250,5,0.000005444,366.972
55,2.7500,2.8000,2.7750,1,0.000001089,360.360
56,2.8000,2.8500,2.8250,2,0.000002178,353.982
57,2.8500,2.9000,2.8750,5,0.000005444,347.826
58,2.9000,2.9500,2.9250,8,0.000008710,341.880
59,2.9500,3.0000,2.9750,20,0.000021775,336.134
60,3.0000,3.0500,3.0250,17,0.000018509,330.579
61,3.0500,3.1000,3.0750,4,0.000004355,325.203
62,3.1000,3.1500,3.1250,7,0.000007621,320.000
63,3.1500,3.2000,3.1750,12,0.000013065,314.961
64,3.2000,3.2500,3.2250,10,0.000010888,310.078
65,3.2500,3.3000,3.2750,6,0.000006533,305.344
66,3.3000,3.3500,3.3250,1,0.000001089,300.752
67,3.3500,3.4000,3.3750,1,0.000001089,296.296
80,4.0000,4.0500,4.0250,1,0.000001089,248.447
81,4.0500,4.1000,4.0750,7,0.000007621,245.399
82,4.1000,4.1500,4.1250,11,0.000011976,242.424
83,4.1500,4.2000,4.1750,18,0.000019598,239.521
84,4.2000,4.2500,4.2250,12,0.000013065,236.686
85,4.2500,4.3000,4.2750,17,0.000018509,233.918
86,4.3000,4.3500,4.3250,14,0.000015243,231.214
87,4.3500,4.4000,4.3750,7,0.000007621,228.571
88,4.4000,4.4500,4.4250,1,0.000001089,225.989
89,4.4500,4.5000,4.4750,1,0.000001089,223.464
90,4.5000,4.5500,4.5250,1,0.000001089,220.994
100,5.0000,5.0500,5.0250,1,0.000001089,199.005
114,5.7000,5.7500,5.7250,1,0.000001089,174.672
249,12.4500,12.5000,12.4750,1,0.000001089,80.160
325,16.2500,16.3000,16.2750,1,0.000001089,61.444
overflow,,,,0,0.000000000,
