bin_index,interval_ms_low,interval_ms_high,interval_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
89,8.9000,9.0000,8.9500,1,0.000046948,111.732
90,9.0000,9.1000,9.0500,1,0.000046948,110.497
99,9.9000,10.0000,9.9500,6,0.000281690,100.503
100,10.0000,10.1000,10.0500,5,0.000234742,99.502
109,10.9000,11.0000,10.9500,1568,0.073615023,91.324
110,11.0000,11.1000,11.0500,1441,0.067652582,90.498
119,11.9000,12.0000,11.9500,5450,0.255868545,83.682
120,12.0000,12.1000,12.0500,5249,0.246431925,82.988
129,12.9000,13.0000,12.9500,3526,0.165539906,77.220
130,13.0000,13.1000,13.0500,3382,0.158779343,76.628
139,13.9000,14.0000,13.9500,362,0.016995305,71.685
140,14.0000,14.1000,14.0500,304,0.014272300,71.174
149,14.9000,15.0000,14.9500,2,0.000093897,66.890
150,15.0000,15.1000,15.0500,3,0.000140845,66.445
overflow,,,,0,0.000000000,
