bin_index,latency_ms_low,latency_ms_high,latency_ms_center,count,fraction
underflow,,,,0,0.000000000
0,0.0000,0.2000,0.1000,38785,0.342844767
1,0.2000,0.4000,0.3000,64434,0.569572251
2,0.4000,0.6000,0.5000,9268,0.081925623
3,0.6000,0.8000,0.7000,229,0.002024274
4,0.8000,1.0000,0.9000,34,0.000300547
5,1.0000,1.2000,1.1000,10,0.000088396
6,1.2000,1.4000,1.3000,17,0.000150274
7,1.4000,1.6000,1.5000,36,0.000318226
8,1.6000,1.8000,1.7000,46,0.000406623
9,1.8000,2.0000,1.9000,61,0.000539217
10,2.0000,2.2000,2.1000,37,0.000327066
11,2.2000,2.4000,2.3000,60,0.000530377
12,2.4000,2.6000,2.5000,30,0.000265189
13,2.6000,2.8000,2.7000,3,0.000026519
14,2.8000,3.0000,2.9000,15,0.000132594
15,3.0000,3.2000,3.1000,12,0.000106075
16,3.2000,3.4000,3.3000,23,0.000203311
17,3.4000,3.6000,3.5000,11,0.000097236
19,3.8000,4.0000,3.9000,5,0.000044198
20,4.0000,4.2000,4.1000,7,0.000061877
21,4.2000,4.4000,4.3000,4,0.000035358
overflow,,,,0,0.000000000
