contacts,rate_hz,modal_hz,mean_hz,interval_mean_ms,interval_sd_ms,interval_min_ms,interval_max_ms,max_gap_ms,intervals,pct_of_single_contact_rate
1,85.5865,83.3617,85.5865,11.684079,0.465648,9.995300,12.036400,12.036400,3414,100.00
2,85.6917,83.3597,85.6917,11.669740,0.473366,9.997100,12.956100,12.956100,2275,100.12
3,85.5459,83.3601,85.5459,11.689633,0.469341,10.970300,13.007000,13.007000,1902,99.95
4,84.3831,83.3085,84.3831,11.850710,0.438417,10.971500,13.011200,13.011200,2119,98.59
5,83.1303,83.3589,83.1303,12.029304,0.444922,10.001800,14.008000,14.008000,2375,97.13
6,82.2016,83.3597,82.2016,12.165213,0.383153,10.997800,14.002200,14.002200,1397,96.05
7,79.4050,76.9016,79.4050,12.593658,0.536485,9.995600,14.021000,14.021000,1130,92.78
8,77.6544,76.9461,77.6544,12.877563,0.472587,8.996900,14.029900,14.029900,1259,90.73
9,77.0461,76.9448,77.0461,12.979250,0.368133,9.000700,15.002400,15.002400,1560,90.02
10,76.1985,76.9461,76.1985,13.123621,0.363663,9.993700,15.003000,15.003000,3869,89.03
