slot,active,pointer_id,samples,mean_dt_ms,sd_dt_ms,min_dt_ms,max_dt_ms,mean_hz,path_len_px,down_latency_ms,x,y,pressure,contact_w,contact_h
0,0,6606,576,8.0000,0.0000,8.0000,8.0000,125.000,9483.9,-433.9111,1099.0,561.0,0.5000,,
1,0,6588,926,8.0000,0.0000,8.0000,8.0000,125.000,15539.0,-306.8761,755.0,835.0,0.5000,,
2,0,6623,93,8.0000,0.0000,8.0000,8.0000,125.000,1726.7,-572.6715,1354.0,778.0,0.5000,,
3,0,6611,467,8.0000,0.0000,8.0000,8.0000,125.000,7773.0,-471.7851,815.0,970.0,0.5000,,
4,0,6625,41,8.0000,0.0000,8.0000,8.0000,125.000,480.1,-602.8099,612.0,767.0,0.5000,,
5,0,6619,297,8.0000,0.0000,8.0000,8.0000,125.000,6174.3,-499.8233,794.0,636.0,0.5000,,
6,0,6624,88,8.0000,0.0000,8.0000,8.0000,125.000,1778.4,-572.5858,1220.0,607.0,0.5000,,
7,0,6621,185,8.0000,0.0000,8.0000,8.0000,125.000,3900.6,-542.6449,854.0,731.0,0.5000,,
8,0,6620,220,8.0000,0.0000,8.0000,8.0000,125.000,3181.7,-514.6423,1001.0,786.0,0.5000,,
9,0,6593,861,8.0000,0.0000,8.0000,8.0000,125.000,14360.2,-320.7257,1250.0,710.0,0.5000,,
