bin_index,frame_ms_low,frame_ms_high,frame_ms_center,count,fraction,hz_equivalent
underflow,,,,0,0.000000000,
2,0.1000,0.1500,0.1250,570,0.001309926,8000.000
3,0.1500,0.2000,0.1750,6718,0.015438745,5714.286
4,0.2000,0.2500,0.2250,36560,0.084019130,4444.444
5,0.2500,0.3000,0.2750,93821,0.215611563,3636.364
6,0.3000,0.3500,0.3250,99871,0.229515166,3076.923
7,0.3500,0.4000,0.3750,90265,0.207439462,2666.667
8,0.4000,0.4500,0.4250,68187,0.156701652,2352.941
9,0.4500,0.5000,0.4750,24633,0.056609497,2105.263
10,0.5000,0.5500,0.5250,5340,0.012271941,1904.762
11,0.5500,0.6000,0.5750,3773,0.008670793,1739.130
12,0.6000,0.6500,0.6250,3037,0.006979379,1600.000
13,0.6500,0.7000,0.6750,1247,0.002865751,1481.481
14,0.7000,0.7500,0.7250,310,0.000712416,1379.310
15,0.7500,0.8000,0.7750,168,0.000386084,1290.323
16,0.8000,0.8500,0.8250,100,0.000229812,1212.121
17,0.8500,0.9000,0.8750,80,0.000183849,1142.857
18,0.9000,0.9500,0.9250,55,0.000126396,1081.081
19,0.9500,1.0000,0.9750,37,0.000085030,1025.641
20,1.0000,1.0500,1.0250,32,0.000073540,975.610
21,1.0500,1.1000,1.0750,11,0.000025279,930.233
22,1.1000,1.1500,1.1250,10,0.000022981,888.889
23,1.1500,1.2000,1.1750,7,0.000016087,851.064
24,1.2000,1.2500,1.2250,8,0.000018385,816.327
25,1.2500,1.3000,1.2750,15,0.000034472,784.314
26,1.3000,1.3500,1.3250,19,0.000043664,754.717
27,1.3500,1.4000,1.3750,13,0.000029876,727.273
28,1.4000,1.4500,1.4250,6,0.000013789,701.754
29,1.4500,1.5000,1.4750,3,0.000006894,677.966
30,1.5000,1.5500,1.5250,4,0.000009192,655.738
31,1.5500,1.6000,1.5750,2,0.000004596,634.921
32,1.6000,1.6500,1.6250,4,0.000009192,615.385
33,1.6500,1.7000,1.6750,2,0.000004596,597.015
34,1.7000,1.7500,1.7250,1,0.000002298,579.710
35,1.7500,1.8000,1.7750,1,0.000002298,563.380
37,1.8500,1.9000,1.8750,1,0.000002298,533.333
38,1.9000,1.9500,1.9250,1,0.000002298,519.481
39,1.9500,2.0000,1.9750,5,0.000011491,506.329
40,2.0000,2.0500,2.0250,2,0.000004596,493.827
42,2.1000,2.1500,2.1250,1,0.000002298,470.588
43,2.1500,2.2000,2.1750,2,0.000004596,459.770
44,2.2000,2.2500,2.2250,1,0.000002298,449.438
45,2.2500,2.3000,2.2750,3,0.000006894,439.560
46,2.3000,2.3500,2.3250,5,0.000011491,430.108
47,2.3500,2.4000,2.3750,11,0.000025279,421.053
48,2.4000,2.4500,2.4250,20,0.000045962,412.371
49,2.4500,2.5000,2.4750,30,0.000068943,404.040
50,2.5000,2.5500,2.5250,9,0.000020683,396.040
51,2.5500,2.6000,2.5750,15,0.000034472,388.350
52,2.6000,2.6500,2.6250,4,0.000009192,380.952
53,2.6500,2.7000,2.6750,5,0.000011491,373.832
54,2.7000,2.7500,2.7250,3,0.000006894,366.972
55,2.7500,2.8000,2.7750,2,0.000004596,360.360
57,2.8500,2.9000,2.8750,1,0.000002298,347.826
58,2.9000,2.9500,2.9250,3,0.000006894,341.880
59,2.9500,3.0000,2.9750,2,0.000004596,336.134
60,3.0000,3.0500,3.0250,5,0.000011491,330.579
61,3.0500,3.1000,3.0750,6,0.000013789,325.203
62,3.1000,3.1500,3.1250,9,0.000020683,320.000
63,3.1500,3.2000,3.1750,8,0.000018385,314.961
64,3.2000,3.2500,3.2250,6,0.000013789,310.078
65,3.2500,3.3000,3.2750,5,0.000011491,305.344
66,3.3000,3.3500,3.3250,2,0.000004596,300.752
67,3.3500,3.4000,3.3750,2,0.000004596,296.296
68,3.4000,3.4500,3.4250,2,0.000004596,291.971
78,3.9000,3.9500,3.9250,1,0.000002298,254.777
80,4.0000,4.0500,4.0250,3,0.000006894,248.447
81,4.0500,4.1000,4.0750,2,0.000004596,245.399
82,4.1000,4.1500,4.1250,8,0.000018385,242.424
83,4.1500,4.2000,4.1750,3,0.000006894,239.521
84,4.2000,4.2500,4.2250,10,0.000022981,236.686
85,4.2500,4.3000,4.2750,13,0.000029876,233.918
86,4.3000,4.3500,4.3250,4,0.000009192,231.214
87,4.3500,4.4000,4.3750,5,0.000011491,228.571
88,4.4000,4.4500,4.4250,3,0.000006894,225.989
90,4.5000,4.5500,4.5250,1,0.000002298,220.994
132,6.6000,6.6500,6.6250,1,0.000002298,150.943
overflow,,,,4,0.000009192,
